task,scene_file,desired_goal,min_costs
put the white mug on the plate and put the chocolate pudding to the right of the plate,libero_10_LIVING_ROOM_SCENE6_put_the_white_mug_on_the_plate_and_put_the_chocolate_pudding_to_the_right_of_the_plate.txt,and (on porcelain_mug0 plate0) (on chocolate_pudding0 table0),6
put both the cream cheese box and the butter in the basket,libero_10_LIVING_ROOM_SCENE2_put_both_the_cream_cheese_box_and_the_butter_in_the_basket.txt,and (in cream_cheese0 basket0) (in butter0 basket0),7
put both the alphabet soup and the tomato sauce in the basket,libero_10_LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket.txt,and (in alphabet_soup0 basket0) (in tomato_sauce0 basket0),7
put both the alphabet soup and the cream cheese box in the basket,libero_10_LIVING_ROOM_SCENE1_put_both_the_alphabet_soup_and_the_cream_cheese_box_in_the_basket.txt,and (in alphabet_soup0 basket0) (in cream_cheese0 basket0),7
put the black bowl in the bottom drawer of the cabinet and close it,libero_10_KITCHEN_SCENE4_put_the_black_bowl_in_the_bottom_drawer_of_the_cabinet_and_close_it.txt,and (closed white_cabinet0) (in akita_black_bowl0 white_cabinet0),6
turn on the stove and put the moka pot on it,libero_10_KITCHEN_SCENE3_turn_on_the_stove_and_put_the_moka_pot_on_it.txt,and (turn_on flat_stove0) (on moka_pot0 flat_stove0),7
put the white mug on the left plate and put the yellow and white mug on the right plate,libero_10_LIVING_ROOM_SCENE5_put_the_white_mug_on_the_left_plate_and_put_the_yellow_and_white_mug_on_the_right_plate.txt,and (on porcelain_mug0 plate0) (on white_yellow_mug0 plate1),7
put the yellow and white mug in the microwave and close it,libero_10_KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it.txt,and (in white_yellow_mug0 microwave0) (closed microwave0),6
pick up the book and place it in the back compartment of the caddy,libero_10_STUDY_SCENE1_pick_up_the_book_and_place_it_in_the_back_compartment_of_the_caddy.txt,and (in black_book0 desk_caddy0),4
put both moka pots on the stove,libero_10_KITCHEN_SCENE8_put_both_moka_pots_on_the_stove.txt,and (on moka_pot0 flat_stove0) (on moka_pot1 flat_stove0) (turn_on flat_stove0),9
