task,scene_file,desired_goal,min_costs
Put the wine bottle on the top of the drawer,libero_goal_put_the_wine_bottle_on_top_of_the_cabinet.txt,and (on wine_bottle0 wooden_cabinet0),5
Open the top layer of the drawer and put the bowl inside,libero_goal_open_the_top_drawer_and_put_the_bowl_inside.txt,and (in akita_black_bowl0 wooden_cabinet0),5
Put the bowl on the stove,libero_goal_put_the_bowl_on_the_stove.txt,and (on akita_black_bowl0 flat_stove0),5
Turn on the stove,libero_goal_turn_on_the_stove.txt,and (turn_on flat_stove0),6
Put the cream cheese on the bowl,libero_goal_put_the_cream_cheese_in_the_bowl.txt,and (on cream_cheese0 akita_black_bowl0),5
Put the bowl on the plate,libero_goal_put_the_bowl_on_the_plate.txt,and (on akita_black_bowl0 plate0),5
Push the plate to the front of the stove,libero_goal_push_the_plate_to_the_front_of_the_stove.txt,and (on plate0 table0),5
Put the wine bottle on the rack,libero_goal_put_the_wine_bottle_on_the_rack.txt,and (on wine_bottle0 wine_rack0),5
Open the middle layer of the drawer,libero_goal_open_the_middle_drawer_of_the_cabinet.txt,and (opened wooden_cabinet0),5
Put the bowl on the top of the drawer,libero_goal_put_the_bowl_on_top_of_the_cabinet.txt,and (on akita_black_bowl0 wooden_cabinet0),5
