task,scene_file,desired_goal,min_costs
Pick the chocolate pudding and place it in the basket,libero_object_pick_up_the_chocolate_pudding_and_place_it_in_the_basket.txt,and (in chocolate_pudding0 basket0),5
Pick the orange juice and place it in the basket,libero_object_pick_up_the_orange_juice_and_place_it_in_the_basket.txt,and (in orange_juice0 basket0),5
Pick the milk and place it in the basket,libero_object_pick_up_the_milk_and_place_it_in_the_basket.txt,and (in milk0 basket0),5
Pick the butter and place it in the basket,libero_object_pick_up_the_butter_and_place_it_in_the_basket.txt,and (in butter0 basket0),5
Pick the bbq sauce and place it in the basket,libero_object_pick_up_the_bbq_sauce_and_place_it_in_the_basket.txt,and (in bbq_sauce0 basket0),5
Pick the cream cheese and place it in the basket,libero_object_pick_up_the_cream_cheese_and_place_it_in_the_basket.txt,and (in cream_cheese0 basket0),5
Pick the tomato sauce and place it in the basket,libero_object_pick_up_the_tomato_sauce_and_place_it_in_the_basket.txt,and (in tomato_sauce0 basket0),5
Pick the alphabet soup and place it in the basket,libero_object_pick_up_the_alphabet_soup_and_place_it_in_the_basket.txt,and (in alphabet_soup0 basket0),5
Pick the ketchup and place it in the basket,libero_object_pick_up_the_ketchup_and_place_it_in_the_basket.txt,and (in ketchup0 basket0),5
Pick the salad dressing and place it in the basket,libero_object_pick_up_the_salad_dressing_and_place_it_in_the_basket.txt,and (in salad_dressing0 basket0),5
